Time	Iterations	Result	warmUp	Threads	Minimum	Maximum	failures	Average
1000	365	377.96128175968494	false	100	175.7273825556088	766.9764425716686	0	386.1099354397788
2000	844	420.6550549886598	false	100	175.7273825556088	779.6455138963237	0	434.34678383588283
3000	1337	526.6644441076015	false	100	175.7273825556088	779.6455138963237	0	455.925499167609
4000	1820	523.6517470394249	false	100	175.7273825556088	779.6455138963237	0	466.42115897316677
5000	2337	648.8598458645115	false	100	175.7273825556088	779.6455138963237	0	472.87729907483276
6000	2849	745.4460347649343	true	100	175.7273825556088	779.6455138963237	0	480.2494589313632
7000	3309	552.2121899195332	true	100	175.7273825556088	779.6455138963237	0	479.0223585822319
8000	3752	539.2786227333054	true	100	175.7273825556088	779.6455138963237	0	474.08913336180217
9000	4167	567.2360873692871	true	100	175.7273825556088	779.6455138963237	0	467.6085419363078
10000	4657	409.76654296989403	true	100	175.7273825556088	779.6455138963237	0	473.77166560570987
